country,group_0_1,group_1_5,group_6_9,group_10_14,group_15_19,group_0_19,group_20_29,group_30_39,group_40_49,group_50_59,group_60_69,group_70_79,group_80_89,group_90,date
Bulgaria,,,,,,1383,2074,2755,3031,3170,2579,1450,545,63,2020-09-06
Bulgaria,,,,,,1385,2078,2761,3037,3177,2588,1453,547,63,2020-09-07
Bulgaria,,,,,,1394,2083,2770,3040,3194,2595,1456,551,63,2020-09-08
Bulgaria,,,,,,1406,2103,2799,3067,3225,2622,1473,555,63,2020-09-09
Bulgaria,,,,,,1411,2117,2816,3087,3256,2643,1485,557,63,2020-09-10
Bulgaria,,,,,,1421,2131,2847,3112,3289,2675,1501,558,64,2020-09-11
Bulgaria,,,,,,1428,2153,2897,3148,3326,2704,1516,562,65,2020-09-12
Bulgaria,,,,,,1430,2161,2915,3170,3342,2717,1524,567,65,2020-09-13
Bulgaria,,,,,,1430,2162,2920,3173,3345,2729,1525,569,65,2020-09-14
Bulgaria,,,,,,1432,2182,2934,3200,3379,2759,1535,575,65,2020-09-15
Bulgaria,,,,,,1440,2192,2957,3222,3409,2799,1555,577,65,2020-09-16
Bulgaria,,,,,,1452,2208,2995,3258,3425,2827,1574,585,66,2020-09-17
Bulgaria,,,,,,1460,2220,3014,3284,3467,2853,1592,587,67,2020-09-18
Bulgaria,,,,,,1472,2245,3040,3315,3508,2885,1608,593,67,2020-09-19
Bulgaria,,,,,,1482,2251,3050,3331,3532,2899,1613,594,67,2020-09-20
Bulgaria,,,,,,1487,2251,3056,3339,3539,2909,1620,595,67,2020-09-21
Bulgaria,,,,,,1505,2264,3079,3366,3570,2931,1633,599,67,2020-09-22
Bulgaria,,,,,,1514,2274,3099,3392,3583,2948,1643,603,67,2020-09-23
Bulgaria,,,,,,1529,2287,3123,3416,3614,2978,1664,605,67,2020-09-24
Bulgaria,,,,,,1545,2310,3174,3475,3675,3013,1699,615,67,2020-09-25
Bulgaria,,,,,,1565,2331,3209,3523,3723,3065,1716,628,68,2020-09-26
Bulgaria,,,,,,1583,2345,3225,3562,3755,3094,1727,638,68,2020-09-27
Bulgaria,,,,,,1588,2352,3237,3575,3764,3098,1733,640,68,2020-09-28
Bulgaria,,,,,,1597,2369,3258,3616,3828,3137,1756,642,68,2020-09-29
Bulgaria,,,,,,1620,2400,3303,3674,3871,3185,1777,649,68,2020-09-30
Bulgaria,,,,,,1646,2443,3338,3728,3931,3226,1793,658,70,2020-10-01
Bulgaria,,,,,,1668,2474,3374,3768,3977,3277,1818,670,70,2020-10-02
Bulgaria,,,,,,1681,2501,3414,3813,4031,3310,1845,671,70,2020-10-03
Bulgaria,,,,,,1696,2523,3455,3847,4048,3339,1859,681,70,2020-10-04
Bulgaria,,,,,,1704,2532,3466,3860,4059,3348,1867,681,70,2020-10-05
Bulgaria,,,,,,1724,2577,3510,3908,4118,3379,1890,692,72,2020-10-06
Bulgaria,,,,,,1750,2624,3584,4014,4207,3431,1925,699,72,2020-10-07
Bulgaria,,,,,,1775,2668,3659,4101,4292,3509,1951,716,72,2020-10-08
Bulgaria,,,,,,1809,2736,3744,4210,4389,3590,1987,721,73,2020-10-09
Bulgaria,,,,,,1859,2800,3848,4335,4505,3688,2028,735,73,2020-10-10
Bulgaria,,,,,,1889,2868,3927,4421,4580,3755,2055,751,73,2020-10-11
Bulgaria,,,,,,1892,2882,3942,4443,4593,3764,2060,752,74,2020-10-12
Bulgaria,,,,,,1931,2942,4042,4555,4722,3853,2097,771,76,2020-10-13
Bulgaria,,,,,,1972,3022,4182,4722,4878,3972,2161,788,77,2020-10-14
Bulgaria,,,,,,2033,3126,4343,4892,5039,4072,2204,806,78,2020-10-15
Bulgaria,,,,,,2093,3253,4502,5060,5210,4210,2277,822,80,2020-10-16
