country,pcr_tests,antigen_tests,positive_percentage,positive_pcr_tests,pcr_positive_percentage,positive_antigen_tests,antigen_positive_percentage,date
Bulgaria,2717,12316,15.83,616,22.67,1763,14.31,2022-01-17
Bulgaria,8787,35981,22.33,3261,37.11,6735,18.72,2022-01-18
Bulgaria,16410,29531,24.34,6072,37.0,5109,17.3,2022-01-19
Bulgaria,14018,27410,24.52,5553,39.61,4607,16.81,2022-01-20
Bulgaria,13388,26048,22.65,4953,37.0,3979,15.28,2022-01-21
Bulgaria,12937,30931,22.51,5055,39.07,4819,15.58,2022-01-22
Bulgaria,9631,16909,24.98,3668,38.09,2962,17.52,2022-01-23
Bulgaria,2696,10567,21.47,837,31.05,2010,19.02,2022-01-24
Bulgaria,9299,36584,24.08,3462,37.23,7587,20.74,2022-01-25
Bulgaria,17757,26219,28.19,7220,40.66,5179,19.75,2022-01-26
Bulgaria,13006,24577,26.38,5422,41.69,4494,18.29,2022-01-27
Bulgaria,13228,24713,26.02,5157,38.99,4717,19.09,2022-01-28
Bulgaria,13795,28171,23.52,4975,36.06,4896,17.38,2022-01-29
Bulgaria,8930,14494,25.08,3372,37.76,2503,17.27,2022-01-30
Bulgaria,2633,12427,17.28,743,28.22,1859,14.96,2022-01-31
Bulgaria,8953,33288,24.03,3258,36.39,6893,20.71,2022-02-01
Bulgaria,14515,26343,27.27,6340,43.68,4803,18.23,2022-02-02
Bulgaria,12237,22794,26.13,5058,41.33,4094,17.96,2022-02-03
Bulgaria,10919,26086,22.0,4278,39.18,3864,14.81,2022-02-04
Bulgaria,10808,29925,19.92,4036,37.34,4080,13.63,2022-02-05
Bulgaria,7016,14235,22.29,2750,39.2,1987,13.96,2022-02-06
Bulgaria,2055,10782,16.99,536,26.08,1645,15.26,2022-02-07
Bulgaria,7008,30497,21.36,2464,35.16,5548,18.19,2022-02-08
Bulgaria,11527,21438,24.69,4669,40.5,3471,16.19,2022-02-09
Bulgaria,8541,21627,24.08,3827,44.81,3436,15.89,2022-02-10
Bulgaria,8087,19910,22.42,3304,40.86,2974,14.94,2022-02-11
Bulgaria,8294,25449,19.36,3166,38.17,3365,13.22,2022-02-12
Bulgaria,5387,13409,19.29,2026,37.61,1599,11.92,2022-02-13
Bulgaria,1439,8620,15.3,455,31.62,1084,12.58,2022-02-14
Bulgaria,6018,29320,17.35,1893,31.46,4237,14.45,2022-02-15
Bulgaria,8772,20206,22.74,3767,42.94,2822,13.97,2022-02-16
Bulgaria,6391,18672,20.04,2641,41.32,2382,12.76,2022-02-17
Bulgaria,6348,18703,18.47,2410,37.96,2216,11.85,2022-02-18
Bulgaria,6590,22281,15.99,2290,34.75,2326,10.44,2022-02-19
Bulgaria,4208,12076,16.0,1463,34.77,1142,9.46,2022-02-20
Bulgaria,1492,8714,12.1,355,23.79,880,10.1,2022-02-21
Bulgaria,5400,25231,15.82,1541,28.54,3304,13.1,2022-02-22
Bulgaria,6938,16463,19.94,2701,38.93,1966,11.94,2022-02-23
Bulgaria,5479,16503,15.52,1821,33.24,1590,9.63,2022-02-24
Bulgaria,5040,13109,15.73,1544,30.63,1310,9.99,2022-02-25
Bulgaria,5234,18982,11.99,1325,25.32,1578,8.31,2022-02-26
Bulgaria,3248,6727,14.72,851,26.2,617,9.17,2022-02-27
Bulgaria,1280,5279,11.04,206,16.09,518,9.81,2022-02-28
Bulgaria,4167,18249,12.31,804,19.29,1955,10.71,2022-03-01
Bulgaria,4744,13549,14.44,1375,28.98,1266,9.34,2022-03-02
Bulgaria,4373,14396,12.12,1085,24.81,1189,8.26,2022-03-03
Bulgaria,2285,6349,12.79,620,27.13,484,7.62,2022-03-04
Bulgaria,2981,16579,10.86,603,20.23,1522,9.18,2022-03-05
Bulgaria,3164,7522,12.99,794,25.09,594,7.9,2022-03-06
Bulgaria,993,4198,9.92,158,15.91,357,8.5,2022-03-07
Bulgaria,3723,18134,11.26,647,17.38,1815,10.01,2022-03-08
Bulgaria,4222,12129,13.33,1174,27.81,1006,8.29,2022-03-09
Bulgaria,3463,13060,11.62,919,26.54,1001,7.66,2022-03-10
Bulgaria,3140,11806,11.33,771,24.55,922,7.81,2022-03-11
Bulgaria,3258,12278,10.52,741,22.74,894,7.28,2022-03-12
Bulgaria,2290,5901,11.72,531,23.19,429,7.27,2022-03-13
Bulgaria,819,4062,10.72,129,15.75,394,9.7,2022-03-14
Bulgaria,3218,16791,12.16,609,18.92,1824,10.86,2022-03-15
Bulgaria,4682,13576,13.11,1267,27.06,1126,8.29,2022-03-16
Bulgaria,3585,12834,11.87,875,24.41,1074,8.37,2022-03-17
Bulgaria,3355,12517,10.84,859,25.6,861,6.88,2022-03-18
Bulgaria,3281,12832,9.94,723,22.04,878,6.84,2022-03-19
Bulgaria,2156,5665,11.75,530,24.58,389,6.87,2022-03-20
Bulgaria,826,3891,10.01,111,13.44,361,9.28,2022-03-21
Bulgaria,3118,13269,11.96,534,17.13,1426,10.75,2022-03-22
Bulgaria,3808,11011,13.11,965,25.34,978,8.88,2022-03-23
Bulgaria,2860,10157,11.92,690,24.13,862,8.49,2022-03-24
Bulgaria,2915,9912,11.1,624,21.41,800,8.07,2022-03-25
Bulgaria,3027,11168,9.39,576,19.03,757,6.78,2022-03-26
Bulgaria,1881,5504,9.53,388,20.63,316,5.74,2022-03-27
Bulgaria,659,3404,8.91,75,11.38,287,8.43,2022-03-28
Bulgaria,1909,11245,10.96,370,19.38,1072,9.53,2022-03-29
Bulgaria,3948,11603,10.92,785,19.88,913,7.87,2022-03-30
Bulgaria,2506,8021,11.17,547,21.83,629,7.84,2022-03-31
Bulgaria,3134,10958,8.11,481,15.35,662,6.04,2022-04-01
Bulgaria,2336,10333,8.15,353,15.11,680,6.58,2022-04-02
Bulgaria,1459,6113,6.56,133,9.12,364,5.95,2022-04-03
Bulgaria,641,3427,5.56,42,6.55,184,5.37,2022-04-04
Bulgaria,1487,10844,9.57,132,8.88,1048,9.66,2022-04-05
Bulgaria,1936,9271,7.49,120,6.2,719,7.76,2022-04-06
Bulgaria,1495,8860,7.01,115,7.69,611,6.9,2022-04-07
Bulgaria,1118,8798,6.89,101,9.03,582,6.62,2022-04-08
Bulgaria,1359,9872,6.37,92,6.77,623,6.31,2022-04-09
Bulgaria,758,4875,5.7,46,6.07,275,5.64,2022-04-10
Bulgaria,506,3637,6.4,28,5.53,237,6.52,2022-04-11
